title,studio,domestic_gross,foreign_gross,grand_total_gross,year
Harry Potter and the Deathly Hallows Part 2,WB,381000000,960500000,1341500000,2011
Avengers: Age of Ultron,BV,459000000,946400000,1405400000,2015
Marvel's The Avengers,BV,623400000,895500000,1518900000,2012
Jurassic World: Fallen Kingdom,Uni.,417700000,891800000,1309500000,2018
Frozen,BV,400700000,875700000,1276400000,2013
Wolf Warrior 2,HC,2700000,867600000,870300000,2017
Transformers: Age of Extinction,Par.,245400000,858600000,1104000000,2014
Minions,Uni.,336000000,823400000,1159400000,2015
Aquaman,WB,335100000,812700000,1147800000,2018
Iron Man 3,BV,409000000,805800000,1214800000,2013
Pirates of the Caribbean: On Stranger Tides,BV,241100000,804600000,1045700000,2011
Skyfall,Sony,304400000,804200000,1108600000,2012
Transformers: Dark of the Moon,P/DW,352400000,771400000,1123800000,2011
Despicable Me 3,Uni.,264600000,770200000,1034800000,2017
Beauty and the Beast (2017),BV,504000000,759500000,1263500000,2017
Captain America: Civil War,BV,408100000,745200000,1153300000,2016
The Hobbit: An Unexpected Journey,WB (NL),303000000,718100000,1021100000,2012
Ice Age: Continental Drift,Fox,161300000,715900000,877200000,2012
Star Wars: The Last Jedi,BV,620200000,712400000,1332600000,2017
The Hobbit: The Battle of the Five Armies,WB (NL),255100000,700900000,956000000,2014
The Hobbit: The Desolation of Smaug,WB (NL),258399999,700000000,958399999,2013
Alice in Wonderland (2010),BV,334200000,691300000,1025500000,2010
Bohemian Rhapsody,Fox,216400000,687200000,903600000,2018
Zootopia,BV,341300000,682500000,1023800000,2016
Spectre,Sony,200100000,680600000,880700000,2015
Harry Potter and the Deathly Hallows Part 1,WB,296000000,664300000,960300000,2010
Toy Story 3,BV,415000000,652000000,1067000000,2010
Black Panther,BV,700100000,646900000,1347000000,2018
Venom (2018),Sony,213500000,641500000,855000000,2018
The Dark Knight Rises,WB,448100000,636800000,1084900000,2012
Incredibles 2,BV,608600000,634200000,1242800000,2018
Pirates of the Caribbean: Dead Men Tell No Tales,BV,172600000,622300000,794900000,2017
Despicable Me 2,Uni.,368100000,602700000,970800000,2013
The Jungle Book (2016),BV,364000000,602500000,966500000,2016
Coco,BV,209700000,597400000,807100000,2017
Fantastic Beasts and Where To Find Them,WB,234000000,580000000,814000000,2016
Operation Red Sea,WGUSA,1500000,577700000,579200000,2018
Mission: Impossible - Fallout,Par.,220200000,571000000,791200000,2018
Jumanji: Welcome to the Jungle,Sony,404500000,557600000,962100000,2017
The Mermaid (Mei ren yu),Sony,3200000,550600000,553800000,2016
Fast & Furious 6,Uni.,238700000,550000000,788700000,2013
Spider-Man: Homecoming,Sony,334200000,546000000,880200000,2017
Batman v Superman: Dawn of Justice,WB,330400000,543300000,873700000,2016
Finding Dory,BV,486300000,542300000,1028600000,2016
Detective Chinatown 2,WB,2000000,542100000,544100000,2018
Thor: Ragnarok,BV,315100000,538900000,854000000,2017
The Twilight Saga: Breaking Dawn Part 2,LG/S,292300000,537400000,829700000,2012
Inception,WB,292600000,535700000,828300000,2010
Madagascar 3: Europe's Most Wanted,P/DW,216400000,530500000,746900000,2012
Rogue One: A Star Wars Story,BV,532200000,523900000,1056100000,2016
Maleficent,BV,241400000,517100000,758500000,2014
Shrek Forever After,P/DW,238700000,513900000,752600000,2010
X-Men: Days of Future Past,Fox,233900000,513900000,747800000,2014
The Secret Life of Pets,Uni.,368400000,507100000,875500000,2016
The Amazing Spider-Man 2,Sony,202900000,506100000,709000000,2014
Dawn of the Planet of the Apes,Fox,208500000,502100000,710600000,2014
Inside Out,BV,356500000,501100000,857600000,2015
Kung Fu Panda 2,P/DW,165200000,500400000,665600000,2011
